County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LAhalfand10
Aitkin County,0,3262,1494,0,7.0,0.2145922746781116,0,1,7.62316910785619,63287.0,818.0,501.0,1032.0,3188.0,10.0,8.0,1.0,19.0,36.0,13.0,52.0,83.0,0
Aitkin County,0,2336,995,0,11.0,0.4708904109589041,0,1,11.2836911831887,63073.0,741.0,519.0,467.0,2231.0,18.0,2.0,0.0,37.0,48.0,26.0,33.0,184.0,1
Aitkin County,0,1957,916,0,11.0,0.5620848237097598,0,1,11.3588110403397,54821.0,662.0,297.0,613.0,1913.0,4.0,1.0,1.0,19.0,19.0,14.0,38.0,58.0,1
Aitkin County,0,2327,1080,0,5.0,0.21486892995272885,0,1,12.527472527472499,57813.0,772.0,347.0,668.0,2255.0,3.0,4.0,1.0,45.0,19.0,16.0,44.0,62.0,1
Aitkin County,0,3052,1424,0,0.0,0.0,0,1,15.459098497495798,53309.0,1208.0,530.0,803.0,2758.0,3.0,5.0,0.0,233.0,53.0,36.0,88.0,184.0,1
Aitkin County,0,3268,1390,0,240.0,7.343941248470013,1,1,17.943982763927398,47466.0,1413.0,724.0,830.0,3149.0,19.0,7.0,1.0,37.0,55.0,46.0,181.0,278.0,0
Anoka County,1,4296,1303,0,0.0,0.0,0,0,0.0,140711.0,157.0,1403.0,136.0,4000.0,4.0,197.0,11.0,6.0,78.0,48.0,0.0,17.0,1
Anoka County,1,2398,709,0,0.0,0.0,0,0,0.62214848610535,148438.0,73.0,860.0,119.0,2113.0,4.0,199.0,1.0,14.0,67.0,38.0,19.0,4.0,1
Anoka County,1,4304,1439,0,0.0,0.0,0,0,0.6874328678839959,96522.0,502.0,1377.0,283.0,3958.0,96.0,124.0,3.0,29.0,94.0,96.0,25.0,33.0,1
Anoka County,1,6365,1939,0,0.0,0.0,0,0,0.843123704215619,127390.0,791.0,2202.0,312.0,5938.0,138.0,136.0,1.0,25.0,127.0,112.0,51.0,29.0,1
Anoka County,1,6338,2282,0,53.0,0.8362259387819501,0,0,0.977147360126084,81146.0,1174.0,1641.0,441.0,5346.0,295.0,452.0,0.0,30.0,215.0,206.0,64.0,64.0,1
Anoka County,1,3792,1315,0,0.0,0.0,0,0,1.34551916730135,120903.0,444.0,1168.0,280.0,3577.0,11.0,104.0,0.0,15.0,85.0,61.0,49.0,21.0,1
Anoka County,0,3709,1323,0,5.0,0.13480722566729578,0,0,1.42549757934373,103438.0,440.0,947.0,339.0,3555.0,19.0,54.0,0.0,21.0,60.0,39.0,9.0,37.0,0
Anoka County,0,5474,1738,0,2.0,0.03653635367190354,0,0,1.55322862129145,121754.0,530.0,1678.0,320.0,5172.0,45.0,138.0,2.0,8.0,109.0,107.0,45.0,34.0,0
Anoka County,1,6091,2037,0,0.0,0.0,0,0,1.76584062917347,106523.0,644.0,1816.0,425.0,5591.0,111.0,205.0,0.0,21.0,163.0,110.0,10.0,49.0,1
Anoka County,0,2861,980,0,6.0,0.20971688220901785,0,0,1.8266253869969,100243.0,271.0,727.0,202.0,2713.0,15.0,53.0,2.0,15.0,63.0,65.0,12.0,15.0,0
Anoka County,1,3061,1008,0,3.0,0.09800718719372753,0,0,1.96274118429807,99531.0,200.0,801.0,241.0,2814.0,38.0,99.0,0.0,21.0,89.0,73.0,11.0,82.0,1
Anoka County,1,3602,1403,0,8.0,0.22209883398112162,0,0,2.12164073550212,92940.0,562.0,864.0,400.0,3184.0,140.0,137.0,1.0,29.0,111.0,100.0,18.0,36.0,1
Anoka County,1,4703,1711,0,11.0,0.2338932596215182,0,0,2.16576426488963,105433.0,292.0,1113.0,369.0,4089.0,221.0,185.0,0.0,34.0,174.0,129.0,25.0,76.0,1
Anoka County,1,4918,2006,0,0.0,0.0,0,0,2.18490795063726,100551.0,576.0,1053.0,591.0,4524.0,87.0,159.0,0.0,22.0,126.0,97.0,37.0,44.0,1
